 1e-05 0.0666557
 0.01001 0.0666571
 0.02001 0.0666588
 0.03001 0.06666
 0.04 0.0666608
 0.05 0.0666613
 0.06 0.0666616
 0.07 0.0666617
 0.08 0.0666619
 0.09001 0.0666619
 0.10001 0.066662
 0.11001 0.066662
 0.12001 0.066662
 0.13001 0.066662
 0.14001 0.066662
 0.15 0.066662
 0.16 0.066662
 0.17 0.066662
 0.18 0.066662
 0.19 0.066662
 0.2 0.066662
 0.21 0.066662
 0.22 0.066662
 0.23 0.066662
 0.24 0.066662
 0.25 0.066662
 0.26 0.066662
 0.27 0.066662
 0.28 0.066662
 0.29 0.066662
 0.3 0.066662
 0.31 0.066662
 0.32 0.066662
 0.33 0.066662
 0.34 0.066662
 0.35 0.066662
 0.36 0.066662
 0.37 0.066662
 0.38 0.066662
 0.39 0.066662
 0.4 0.066662
 0.41 0.066662
 0.42 0.066662
 0.43 0.066662
 0.44 0.066662
 0.45 0.066662
 0.46 0.066662
 0.47 0.066662
 0.48 0.066662
 0.49 0.066662
 0.5 0.066662
 0.51 0.066662
 0.52 0.066662
 0.53 0.066662
 0.54 0.066662
 0.55 0.066662
 0.56 0.066662
 0.57 0.066662
 0.58001 0.066662
 0.59001 0.066662
 0.60001 0.066662
 0.61001 0.066662
 0.62001 0.066662
 0.63001 0.066662
 0.64001 0.066662
 0.65001 0.066662
 0.66001 0.066662
 0.67001 0.066662
 0.68001 0.066662
 0.69001 0.066662
 0.70001 0.066662
 0.71001 0.066662
 0.72001 0.066662
 0.73001 0.066662
 0.74001 0.066662
 0.75001 0.066662
 0.76001 0.066662
 0.77001 0.066662
 0.78001 0.066662
 0.79001 0.066662
 0.80001 0.066662
 0.81001 0.066662
 0.82001 0.066662
 0.83001 0.066662
 0.84001 0.066662
 0.85001 0.066662
 0.86001 0.066662
 0.87001 0.066662
 0.88001 0.066662
 0.89001 0.066662
 0.90001 0.066662
 0.91001 0.066662
 0.92001 0.066662
 0.93001 0.066662
 0.94001 0.066662
 0.95001 0.066662
 0.96001 0.066662
 0.97001 0.066662
 0.98001 0.066662
 0.99001 0.066662
 1.00001 0.066662
